pk_report_stock_balance,sort_key_report_stock_balance,c_des1,c_des2,diff_day,docno,first_recdate,GSI_ItemDate_Doc,GSI_PreEvent2,GSI_Wh_Prein_Item_Date_Doc,GSI_Whcode,itemcode,itemno,maincode,pre_event2,qtybal,qtyin,qtyout,seriesno,unitname,whcode
MG1#2021093#I-2021093-00548#1146#1#P2100100101900,MG1#2021093#I-2021093-00548#1146#1#P2100100101900,ไม้ยูคาลิปตัส,"""ขนาด 4""""ยาว 4.00 ม.""",383,I-2021093-00548,2024-09-06,P2100100101900#2024-09-06#I-2021093-00548#1146#1,2021093,2021093#P2100100101900#2024-09-06#I-2021093-00548#1146#1,001,P2100100101900,1146,MG1,2021093,20,20,0,1,ท่อน,001
MG3#2021001#I-2021001-00061#121#1#A1000100100000,MG3#2021001#I-2021001-00061#121#1#A1000100100000,ที่ดิน,ที่ดิน (Spec),587,I-2021001-00061,2024-02-15,A1000100100000#2024-02-15#I-2021001-00061#121#1,2021001,2021001#A1000100100000#2024-02-15#I-2021001-00061#121#1,001,A1000100100000,121,MG3,2021001,20,20,0,1,ไร่,001
MG1#2021093#I-2021093-00548#315#1#P2100100200600,MG1#2021093#I-2021093-00548#315#1#P2100100200600,ไม้สน,"""ขนาด 2.5""""ยาว 4.00 ม.""",383,I-2021093-00548,2024-09-06,P2100100200600#2024-09-06#I-2021093-00548#315#1,2021093,2021093#P2100100200600#2024-09-06#I-2021093-00548#315#1,001,P2100100200600,315,MG1,2021093,20,20,0,1,ท่อน,001
MG3#2021001#I-2021001-00061#214#1#9GFL0025100202,MG3#2021001#I-2021001-00061#214#1#9GFL0025100202,IMPERIAL TEXTURE,"""12 """"X12 """"X3/32 """"""",587,I-2021001-00061,2024-02-15,9GFL0025100202#2024-02-15#I-2021001-00061#214#1,2021001,2021001#9GFL0025100202#2024-02-15#I-2021001-00061#214#1,001,9GFL0025100202,214,MG3,2021001,20,20,0,1,SQM,001
MG5#2021004#I-2021004-00042#1#1#P2400104000700,MG5#2021004#I-2021004-00042#1#1#P2400104000700,น้ำมันเชื้อเพลิง,แก๊สโซฮอล 95,838,I-2021004-00042,2023-06-09,P2400104000700#2023-06-09#I-2021004-00042#1#1,2021004,2021004#P2400104000700#2023-06-09#I-2021004-00042#1#1,001,P2400104000700,1,MG5,2021004,20,20,0,1,ลิตร,001
MG1#2021093#I-2021093-00548#605#1#P2100100201400,MG1#2021093#I-2021093-00548#605#1#P2100100201400,ไม้สน,"""ขนาด 4""""ยาว 5.00 ม.""",383,I-2021093-00548,2024-09-06,P2100100201400#2024-09-06#I-2021093-00548#605#1,2021093,2021093#P2100100201400#2024-09-06#I-2021093-00548#605#1,001,P2100100201400,605,MG1,2021093,20,20,0,1,ท่อน,001
MG1#2021093#I-2021093-00548#62#1#P2100100301300,MG1#2021093#I-2021093-00548#62#1#P2100100301300,ไม้เนื้อแข็ง,"""ขนาด 1.5""""x3"""" ยาว 5.00 ม.""",383,I-2021093-00548,2024-09-06,P2100100301300#2024-09-06#I-2021093-00548#62#1,2021093,2021093#P2100100301300#2024-09-06#I-2021093-00548#62#1,001,P2100100301300,62,MG1,2021093,20,20,0,1,ท่อน,001
MG3#2021001#I-2021001-00061#37#1#A1000100100000,MG3#2021001#I-2021001-00061#37#1#A1000100100000,ที่ดิน,ที่ดิน (Spec),587,I-2021001-00061,2024-02-15,A1000100100000#2024-02-15#I-2021001-00061#37#1,2021001,2021001#A1000100100000#2024-02-15#I-2021001-00061#37#1,001,A1000100100000,37,MG3,2021001,20,20,0,1,ไร่,001
MG5#2021004#I-2021004-00085#353#1#FGFL0020100100,MG5#2021004#I-2021004-00085#353#1#FGFL0020100100,Armstrong Pastell Conductive,2.2mm 1.83x25M @ 45.75sqm,586,I-2021004-00085,2024-02-16,FGFL0020100100#2024-02-16#I-2021004-00085#353#1,2021004,2021004#FGFL0020100100#2024-02-16#I-2021004-00085#353#1,001,FGFL0020100100,353,MG5,2021004,20,20,0,1,SQM,001
MG1#2021093#I-2021093-00548#268#1#P2100100800202,MG1#2021093#I-2021093-00548#268#1#P2100100800202,ไม้ระแนง,"""ขนาด 1""""x6""""ยาว 5.00 ม.""",383,I-2021093-00548,2024-09-06,P2100100800202#2024-09-06#I-2021093-00548#268#1,2021093,2021093#P2100100800202#2024-09-06#I-2021093-00548#268#1,001,P2100100800202,268,MG1,2021093,20,20,0,1,แผ่น12345,001
MG1#2021093#I-2021093-00548#905#1#P2100100301000,MG1#2021093#I-2021093-00548#905#1#P2100100301000,ไม้เนื้อแข็ง,"""ขนาด 1.5""""x3""""ยาว 3.50 ม.""",383,I-2021093-00548,2024-09-06,P2100100301000#2024-09-06#I-2021093-00548#905#1,2021093,2021093#P2100100301000#2024-09-06#I-2021093-00548#905#1,001,P2100100301000,905,MG1,2021093,20,20,0,1,ท่อน,001
MG5#2021004#I-2021004-00085#398#1#9GFL0025100202,MG5#2021004#I-2021004-00085#398#1#9GFL0025100202,IMPERIAL TEXTURE,"""12 """"X12 """"X3/32 """"""",586,I-2021004-00085,2024-02-16,9GFL0025100202#2024-02-16#I-2021004-00085#398#1,2021004,2021004#9GFL0025100202#2024-02-16#I-2021004-00085#398#1,001,9GFL0025100202,398,MG5,2021004,20,20,0,1,SQM,001
